Jahr,Bar,Girocard,Kreditkarte,Lastschrift,Sonstige,Rechnung,Maestro/V-Pay,Handelskarte
2016,51.3,24.3,6.1,13.4,0.6,2.5,0.9,0.6
2017,50.0,26.3,6.5,12.6,0.6,2.5,0.9,0.6
2018,48.3,30.1,6.9,10.0,0.6,2.5,1.0,0.6
2019,46.5,33.6,7.6,7.8,0.6,2.4,0.9,0.6
2020,40.9,40.1,8.5,6.2,0.6,2.2,0.9,0.6
2021,38.5,42.4,9.0,6.0,0.6,2.1,0.8,0.6
2022,37.5,41.9,8.2,6.1,0.6,2.2,2.9,0.6
2023,35.5,42.4,8.6,6.1,0.6,2.1,4.1,0.6
2024,33.8,41.5,8.3,6.2,0.6,2.1,6.9,0.6
