Methode,Prozent
"E-Wallet (Paypal, Alipay)",65
Per Rechnung (und Zahlschein),43
Klarna,28
Kreditkarte einer inländischen Bank / Debitkarte,28
Visa / Mastercard,26
Banküberweisung,26
Direct debit,20
Voucher ePay / Geschenkkarte eines Geschäfts / einer Marke,18
Bezahlung im Geschäft,9
Giropay,9
Sofort,8
Kauf auf Kredit,8
Andere Karten (American Express),7
Mobile Bezahl-App,6
Cash-on-Delivery (COD),5
Virtuelle Währungen (Bitcoin),3
