Jahr,CPI,LM_Umsatz_nom,Bekl_nom,Food_nom,LM_Umsatz_real,Bekl_real,Food_real
2016,121.44857355433236,182192.08,77.71,217.54,150015.82535548913,63.98593060892142,179.12108280356154
2017,123.27030215764734,193640.36,80.57,224.22,157085.97822073812,65.36043036299287,181.8929588679442
2018,125.489167596485,197272.6,79.97,232.57,157202.89151517625,63.72661603521546,185.33073766800123
2019,127.24601594283575,216323.77,77.93,240.22,170004.3560477223,61.2435677632606,188.78390668664773
2020,127.88224602254992,224559.32,73.65,257.71,175598.51111811306,57.59204447114031,201.52132763961396
